    #,     Theta,  TwoTheta, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,    Temp1,    Temp2,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,   gkadc1,   gkadc2,     kpow
  350,      1.75,       3.5,     1373,   256600,   1.0000,    22414,      240,     0000, 0.0053507405,        0,        0,     1373,   126235,   131097,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  351,     1.755,      3.51,     1416,   256474,   1.0000,    22416,      241,     0000, 0.0055210275,        0,        0,     1416,   126371,   130976,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  352,      1.76,      3.52,     1305,   256505,   1.0000,    22407,      242,     0000, 0.0050876201,        0,        0,     1305,   126708,   130491,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  353,     1.765,      3.53,     1240,   256370,   1.0000,    22402,      242,     0000, 0.0048367594,        0,        0,     1240,   127107,   130006,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  354,      1.77,      3.54,     1274,   256562,   1.0000,    22392,      241,     0000, 0.0049656613,        0,        0,     1274,   127505,   129551,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  355,     1.775,      3.55,     1251,   256536,   1.0000,    22386,      242,     0000, 0.0048765086,        0,        0,     1251,   127971,   129066,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  356,      1.78,      3.56,     1243,   256460,   1.0000,    22375,      242,     0000, 0.0048467597,        0,        0,     1243,   128262,   128692,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  357,     1.785,      3.57,     1226,   256338,   1.0000,    22367,      242,     0000, 0.0047827478,        0,        0,     1226,   128369,   128490,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  358,      1.79,      3.58,     1162,   256368,   1.0000,    22359,      242,     0000, 0.004532547,        0,        0,     1162,   128402,   128410,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  359,     1.795,      3.59,     1121,   256272,   1.0000,    22359,      242,     0000, 0.0043742586,        0,        0,     1121,   128453,   128322,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  360,       1.8,       3.6,     1108,   256430,   1.0000,    22363,      240,     0000, 0.0043208673,        0,        0,     1108,   128502,   128258,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  361,     1.805,      3.61,     1044,   256285,   1.0000,    22360,      241,     0000, 0.0040735899,        0,        0,     1044,   128558,   128193,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
