    #,     Theta,  TwoTheta, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,    Temp1,    Temp2,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,   gkadc1,   gkadc2,     kpow
  196,      0.98,      1.96,    12086,   261662,   1.0000,    22637,      183,     0000, 0.046189359,        0,        0,    12086,   130814,   130416,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  197,     0.985,      1.97,    12061,   261708,   1.0000,    22632,      183,     0000, 0.046085714,        0,        0,    12061,   130867,   130339,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  198,      0.99,      1.98,    11923,   261657,   1.0000,    22634,      183,     0000, 0.045567288,        0,        0,    11923,   130930,   130294,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  199,     0.995,      1.99,    12071,   261503,   1.0000,    22628,      184,     0000, 0.046160082,        0,        0,    12070,   130843,   130278,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  200,         1,         2,    11936,   261551,   1.0000,    22618,      183,     0000, 0.045635459,        0,        0,    11936,   130797,   130264,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  201,     1.005,      2.01,    11957,   261549,   1.0000,    22618,      183,     0000, 0.045716099,        0,        0,    11957,   130733,   130285,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  202,      1.01,      2.02,    11905,   261830,   1.0000,    22598,      183,     0000, 0.045468434,        0,        0,    11905,   130932,   130262,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  203,     1.015,      2.03,    11788,   262233,   1.0000,    22601,      183,     0000, 0.04495239,        0,        0,    11788,   130979,   130572,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  204,      1.02,      2.04,    11547,   262603,   1.0000,    22622,      183,     0000, 0.043971318,        0,        0,    11547,   131169,   130799,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  205,     1.025,      2.05,    11626,   262989,   1.0000,    22656,      182,     0000, 0.044207172,        0,        0,    11626,   131378,   130982,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  206,      1.03,      2.06,    11379,   263367,   1.0000,    22688,      182,     0000, 0.043205869,        0,        0,    11379,   131525,   131205,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  207,     1.035,      2.07,    11062,   263748,   1.0000,    22731,      181,     0000, 0.04194155,        0,        0,    11062,   131616,   131532,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  208,      1.04,      2.08,    10696,   264010,   1.0000,    22769,      182,     0000, 0.040513617,        0,        0,    10696,   131770,   131720,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  209,     1.045,      2.09,    10427,   263985,   1.0000,    22805,      182,     0000, 0.039498456,        0,        0,    10427,   131889,   131721,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  210,      1.05,       2.1,    10136,   264083,   1.0000,    22819,      181,     0000, 0.038381872,        0,        0,    10136,   131947,   131681,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  211,     1.055,      2.11,     9721,   264014,   1.0000,    22824,      182,     0000, 0.036820017,        0,        0,     9721,   131940,   131706,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  212,      1.06,      2.12,     9445,   264018,   1.0000,    22831,      182,     0000, 0.035774076,        0,        0,     9445,   131909,   131731,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  213,     1.065,      2.13,     9089,   263918,   1.0000,    22824,      180,     0000, 0.034438727,        0,        0,     9090,   131862,   131718,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
